"計算式を入力して計算する","","計算式を入れて[計算]ボタンを押すと計算します。タイトルで登録されている計算式が選択できます。"
"BMIを計算する","[体重kg]/([身長m]*[身長m])","(標準18.5-25)"
"適正体重 kg","([身長m]*[身長m])*22",""
"高度(m)から気温(℃)を計算","[地上の気温(℃)]-0.0065*[高度(m)]",""
"高度(m)から気圧(hPa)を計算","[地上の気圧(hPa)]*pow((1-0.0065*[高度(m)]/([地上の気温(℃)]+273.15)),5.257)","(地上気圧1013.3hPa)"
"気圧(hPa)から高度(m)を計算","(pow(([地上の気圧(hPa)]/[現在地の気圧(hPa)]),1/5.25)-1)*([地上の気温(℃)]+273.15))/0.0065","(地上気圧1013.3hPa)"
"ランニングの消費カロリkcal","[メッツ]*[体重kg]*[運動時間hour]*1.05","(時速8.3k→9メッツ 9.6k→9.8メッツ 11.3k→11メッツ)"
"ウォーキングの消費カロリkcal","[メッツ]*[体重kg]*[運動時間hour]*1.05","(時速3.2k→2.8ッツ 4k→3メッツ 4.8k→3.5メッツ)"
"基礎代謝量(男)(kcal/日)","13.397*[体重kg]+4.799*[身長cm]-5.677*[年齢]+88.362","基礎代謝量とは、生命活動を維持するために24時間消費されるエネルギー(kcal/日)"
"基礎代謝量(女)(kcal/日)","9.247*[体重kg]+3.098*[身長cm]-4.33*[年齢]+447.593","基礎代謝量とは、生命活動を維持するために24時間消費されるエネルギー(kcal/日)"
"男性肺活量(ml)","(27.63-0.112*[年齢])*[身長cm]",""
"女性肺活量(ml)","(21.78-0.101*[年齢])*[身長cm]",""
"ローンの返済額(月額)","[借入額]*[利率]*pow(1+[利率],[返済回数])/(pow(1+[利率],[返済回数])-1)","元利均等返済(毎月同じ金額を返す借入方式)で利率は月利(年利の1/12)とする、消費者金融の金利は年18%(月利1.5%)、住宅ローンは年利1～1.5%ぐらい"
"ローンの返済額(のべ返済額)","[借入額]*[利率]*pow(1+[利率],[返済回数])/(pow(1+[利率],[返済回数])-1)*[返済回数]","元利均等返済(毎月同じ金額を返す借入方式)で利率は月利(年利の1/12)とする、消費者金融の金利は年18%(月利1.5%)、住宅ローンは年利1～1.5%ぐらい"
